# dataset	title	licence	records	modified
ukpn-132kv-circuit-operational-data-half-hourly	132kV Circuit Operational Data Half Hourly	CC BY 4.0	22077113	2026-09-24T00:50:45
ukpn-132kv-circuit-operational-data-monthly	132kV Circuit Operational Data Monthly	CC BY 4.0	17019	2026-09-23T22:01:13
ukpn-132kv-overhead-lines	UK Power Networks Licence Area 132kV Overhead Lines	CC BY 4.0	685	2026-09-22T10:40:29
ukpn-132kv-poles-towers	UK Power Networks Licence Area 132kV Poles and Towers	CC BY 4.0	7313	2026-09-22T10:51:23
ukpn-33kv-circuit-operational-data-half-hourly-epn	33kV Circuit Operational Data Half Hourly - Eastern Power Networks (EPN)	CC BY 4.0	29897278	2026-09-24T02:44:27
ukpn-33kv-circuit-operational-data-half-hourly-spn	33kV Circuit Operational Data Half Hourly - South Eastern Power Networks (SPN)	CC BY 4.0	23858271	2026-09-24T02:12:50
ukpn-33kv-circuit-operational-data-monthly	33kV Circuit Operational Data Monthly	CC BY 4.0	49349	2026-09-23T21:01:27
ukpn-33kv-overhead-lines	UK Power Networks Licence Area 33kV Overhead Lines	CC BY 4.0	6081	2026-09-22T10:41:01
ukpn-33kv-poles-towers	UK Power Networks Licence Area 33kV Poles and Towers	CC BY 4.0	53421	2026-09-22T11:09:45
ukpn-66kv-overhead-lines-shapefile	UK Power Networks Licence Area 66kV Overhead Lines	CC BY 4.0	4	2026-09-22T10:40:32
ukpn-grid-and-primary-sites-epr-data	Earth Potential Rise (EPR) Data for Grid and Primary Sites	CC BY 4.0	3263	2026-09-25T07:01:52
ukpn-grid-and-primary-sites-fault-level-data	Earthing Fault Level Data for Grid and Primary Sites	CC BY 4.0	3482	2026-09-25T07:10:15
ukpn-grid-transformer-operational-data-half-hourly	Grid Transformer Power Flow Historic Half Hourly	CC BY 4.0	10879831	2026-09-23T22:52:23
ukpn-grid-transformer-operational-data-monthly	Grid Transformer Power Flow Historic Monthly	CC BY 4.0	10312	2026-09-23T22:01:09
ukpn-hv-overhead-lines-shapefile	UK Power Networks Licence Area HV Overhead Lines	CC BY 4.0	103421	2026-09-22T10:48:34
ukpn-licence-area-132kv-underground-cables	UK Power Networks Licence Area 132kV Underground Cables	UK Power Networks Shared Data Licence - Connections	2437	2026-03-31T13:11:01
ukpn-licence-area-33kv-underground-cables	UK Power Networks Licence Area 33kV Underground Cables	UK Power Networks Shared Data Licence - Connections	19402	2026-03-31T13:10:23
ukpn-licence-area-66kv-underground-cables	UK Power Networks Licence Area 66kV Underground Cables	UK Power Networks Shared Data Licence - Connections	0	2025-03-31T14:55:45
ukpn-licence-area-hv-underground-cables	UK Power Networks Licence Area HV Underground Cables	UK Power Networks Shared Data Licence - Connections	433751	2026-04-24T08:19:17
ukpn-licence-area-lv-underground-cables	UK Power Networks Licence Area LV Underground Cables	UK Power Networks Shared Data Licence - Connections	2015774	2026-03-30T13:59:42
ukpn-lv-overhead-lines-shapefile	UK Power Networks Licence Area LV Overhead Lines	CC BY 4.0	215301	2026-09-22T10:43:44
ukpn-primary-transformer-power-flow-historic-half-hourly-epn	Primary Transformer Power Flow Historic Half Hourly - Eastern Power Networks	CC BY 4.0	47070218	2026-09-23T21:17:37
ukpn-primary-transformer-power-flow-historic-half-hourly-spn	Primary Transformer Power Flow Historic Half Hourly - South Eastern Power Networks	CC BY 4.0	25537181	2026-02-25T18:37:50
ukpn-primary-transformer-power-flow-historic-monthly	Primary Transformer Power Flow Historic Monthly	CC BY 4.0	55044	2026-09-23T22:01:42
