# seen_unix	dataset	records	modified	what_changed
1789830721	ukpn-132kv-circuit-operational-data-half-hourly	22077309	2026-09-12T00:54:07	first seen
1789830721	ukpn-132kv-circuit-operational-data-monthly	17019	2026-09-11T22:01:25	first seen
1789830721	ukpn-132kv-overhead-lines	683	2026-03-31T13:17:11	first seen
1789830721	ukpn-132kv-poles-towers	7313	2026-03-31T13:22:17	first seen
1789830721	ukpn-33kv-circuit-operational-data-half-hourly-epn	29897278	2026-09-12T02:43:49	first seen
1789830721	ukpn-33kv-circuit-operational-data-half-hourly-spn	23858271	2026-09-12T02:15:00	first seen
1789830721	ukpn-33kv-circuit-operational-data-monthly	49349	2026-09-11T21:01:22	first seen
1789830721	ukpn-33kv-overhead-lines	6076	2026-03-31T13:13:41	first seen
1789830721	ukpn-33kv-poles-towers	47409	2026-03-31T13:45:19	first seen
1789830721	ukpn-66kv-overhead-lines-shapefile	4	2026-03-31T13:16:10	first seen
1789830721	ukpn-grid-and-primary-sites-epr-data	3263	2026-09-18T07:01:07	first seen
1789830721	ukpn-grid-and-primary-sites-fault-level-data	3482	2026-09-18T07:10:14	first seen
1789830721	ukpn-grid-transformer-operational-data-half-hourly	10879831	2026-09-11T22:52:40	first seen
1789830721	ukpn-grid-transformer-operational-data-monthly	10312	2026-09-11T22:01:21	first seen
1789830721	ukpn-hv-overhead-lines-shapefile	103368	2026-03-31T13:28:09	first seen
1789830721	ukpn-licence-area-132kv-underground-cables	2437	2026-03-31T13:11:01	first seen
1789830721	ukpn-licence-area-33kv-underground-cables	19402	2026-03-31T13:10:23	first seen
1789830721	ukpn-licence-area-66kv-underground-cables	0	2025-03-31T14:55:45	first seen
1789830721	ukpn-licence-area-hv-underground-cables	433751	2026-04-24T08:19:17	first seen
1789830721	ukpn-licence-area-lv-underground-cables	2015774	2026-03-30T13:59:42	first seen
1789830721	ukpn-lv-overhead-lines-shapefile	215095	2026-03-30T13:25:27	first seen
1789830721	ukpn-primary-transformer-power-flow-historic-half-hourly-epn	47070249	2026-09-15T21:18:47	first seen
1789830721	ukpn-primary-transformer-power-flow-historic-half-hourly-spn	25537181	2026-02-25T18:37:50	first seen
1789830721	ukpn-primary-transformer-power-flow-historic-monthly	55043	2026-09-11T22:02:01	first seen
1790158597	ukpn-132kv-overhead-lines	685	2026-09-22T10:40:29	records +2
1790158597	ukpn-132kv-poles-towers	7313	2026-09-22T10:51:23	records +0
1790158597	ukpn-33kv-overhead-lines	6081	2026-09-22T10:41:01	records +5
1790158597	ukpn-33kv-poles-towers	53421	2026-09-22T11:09:45	records +6012
1790158597	ukpn-66kv-overhead-lines-shapefile	4	2026-09-22T10:40:32	records +0
1790158597	ukpn-hv-overhead-lines-shapefile	103421	2026-09-22T10:48:34	records +53
1790158597	ukpn-lv-overhead-lines-shapefile	215301	2026-09-22T10:43:44	records +206
1790245835	ukpn-132kv-circuit-operational-data-half-hourly	22077113	2026-09-24T00:50:45	records -196
1790245835	ukpn-132kv-circuit-operational-data-monthly	17019	2026-09-23T22:01:13	records +0
1790245835	ukpn-33kv-circuit-operational-data-half-hourly-epn	29897278	2026-09-24T02:44:27	records +0
1790245835	ukpn-33kv-circuit-operational-data-half-hourly-spn	23858271	2026-09-24T02:12:50	records +0
1790245835	ukpn-33kv-circuit-operational-data-monthly	49349	2026-09-23T21:01:27	records +0
1790245835	ukpn-grid-transformer-operational-data-half-hourly	10879831	2026-09-23T22:52:23	records +0
1790245835	ukpn-grid-transformer-operational-data-monthly	10312	2026-09-23T22:01:09	records +0
1790245835	ukpn-primary-transformer-power-flow-historic-half-hourly-epn	47070218	2026-09-23T21:17:37	records -31
1790245835	ukpn-primary-transformer-power-flow-historic-monthly	55044	2026-09-23T22:01:42	records +1
